customer_city,item_revenue,share,cum_share,rank
Reginopolis,1552.99,0.00011793636451643566,0.9014995178273967,878
Vazante,1549.6299999999999,0.000117681201131755,0.9016171990285284,879
Sao Francisco Do Sul,1549.08,0.00011763943331581025,0.9017348384618442,880
Ipueiras,1547.29,0.00011750349806028097,0.9018523419599045,881
Miracema,1547.26,0.00011750121981577489,0.9019698431797203,882
Nova Olinda Do Maranhao,1546.4,0.00011743591013993402,0.9020872790898602,883
Ronda Alta,1544.33,0.00011727871126901467,0.9022045578011292,884
Campos Sales,1543.9,0.00011724605643109424,0.9023218038575602,885
Conceicao Das Alagoas,1542.4,0.00011713214420579036,0.9024389360017661,886
Sao Joao Do Piaui,1541.8,0.00011708657931566881,0.9025560225810817,887
Sao Simao,1536.59,0.0001166909241864467,0.9026727135052681,888
Costa Marques,1534.9,0.00011656258307927102,0.9027892760883474,889
Ipojuca,1530.3,0.00011621325225500583,0.9029054893406023,890
Toropi,1529.9,0.00011618287566159148,0.903021672216264,891
Brejo Santo,1529.8600000000001,0.00011617983800225003,0.9031378520542662,892
Itatiaia,1526.46,0.00011592163695822793,0.9032537736912245,893
Periquito,1526.0,0.0001158867038758014,0.9033696603951004,894
Mangueirinha,1524.77,0.00011579329585105223,0.9034854536909515,895
Cassilandia,1524.5,0.00011577279165049755,0.903601226482602,896
Santana,1522.93,0.00011565356352134616,0.9037168800461234,897
Nova Olinda,1520.7,0.00011548421401306108,0.9038323642601365,898
Ibatiba,1518.78,0.00011533840636467212,0.9039477026665012,899
Embu,1517.88,0.0001152700590294898,0.9040629727255306,900
Mostardas,1517.83,0.00011526626195531301,0.904178238987486,901
Quissama,1513.97,0.0001149731278288644,0.9042932121153148,902
Tambau,1513.43,0.000114932119427755,0.9044081442347425,903
Ibate,1512.6,0.00011486908799642018,0.9045230133227389,904
Mata Verde,1512.53,0.00011486377209257267,0.9046378770948315,905
Aracoiaba Da Serra,1511.5700000000002,0.0001147908682683782,0.9047526679630998,906
Bocaina,1506.8,0.0001144286273919119,0.9048670965904917,907
Lambari,1506.47,0.00011440356670234505,0.904981500157194,908
Pacaembu,1505.29,0.00011431395575177267,0.9050958141129458,909
Nova Russas,1504.94,0.00011428737623253512,0.9052101014891784,910
Entre Rios De Minas,1503.8600000000001,0.00011420535943031633,0.9053243068486087,911
Imbuia,1501.88,0.00011405499529291523,0.9054383618439016,912
Santa Ines,1500.8799999999999,0.00011397905380937929,0.905552340897711,913
Nova Esperanca,1499.98,0.00011391070647419699,0.9056662516041851,914
Santa Helena De Goias,1499.73,0.000113891721103313,0.9057801433252884,915
Sao Francisco De Itabapoana,1497.76,0.00011374211638074725,0.9058938854416692,916
Teutonia,1493.6,0.00011342619980923786,0.9060073116414784,917
Santa Rita,1491.6499999999999,0.00011327811391634283,0.9061205897553948,918
Corrente,1489.9,0.000113145216320155,0.9062337349717149,919
Quatro Bocas,1486.99,0.00011292422660306549,0.9063466591983179,920
Catu,1486.97,0.00011292270777339477,0.9064595819060913,921
Jose Bonifacio,1486.3400000000001,0.00011287486463876715,0.9065724567707301,922
Porto Real,1484.6,0.00011274272645741465,0.9066851994971875,923
Pojuca,1481.09,0.00011247617185020361,0.9067976756690377,924
Cruz,1480.58,0.00011243744169360028,0.9069101131107313,925
Quirinopolis,1475.95,0.00011208583262482902,0.9070221989433561,926
Piranguinho,1475.65,0.00011206305017976826,0.9071342619935359,927
Garuva,1467.38,0.00011143501411092626,0.9072456970076468,928
Aperibe,1464.94,0.00011124971689109864,0.9073569467245379,929
Chapada,1463.19,0.00011111681929491079,0.9074680635438328,930
Andira,1462.18,0.00011104011839653951,0.9075791036622294,931
Dom Pedrito,1461.93,0.00011102113302565555,0.907690124795255,932
Correia Pinto,1454.23,0.00011043638360242902,0.9078005611788574,933
Paraguacu,1452.85,0.00011033158435514946,0.9079108927632126,934
Ibitita,1450.0,0.0001101151511270721,0.9080210079143396,935
Lauro Muller,1449.57,0.00011008249628915167,0.9081310904106288,936
Currais Novos,1448.19,0.00010997769704187212,0.9082410681076707,937
Gameleira,1447.99,0.00010996250874516493,0.9083510306164159,938
Flores Da Cunha,1439.45,0.00010931396847576824,0.9084603445848917,939
Fatima Do Sul,1436.29,0.00010907399338779476,0.9085694185782794,940
Marilandia,1436.0700000000002,0.00010905728626141687,0.9086784758645409,941
Altinopolis,1428.8,0.00010850519167611078,0.908786981056217,942
Balneario Picarras,1426.81,0.00010835406812387431,0.908895335124341,943
Itauba,1420.98,0.00010791132927485995,0.9090032464536159,944
Torres,1416.23,0.00010755060722806437,0.909110797060844,945
Carmo,1415.19,0.00010747162808518702,0.9092182686889292,946
Camamu,1411.82,0.000107215705285671,0.9093254843942149,947
Jarinu,1410.48,0.00010711394369773288,0.9094325983379127,948
Nova Ponte,1409.49,0.00010703876162903233,0.9095396370995417,949
Baependi,1409.04,0.00010700458796144117,0.9096466416875031,950
Orleans,1408.5900000000001,0.00010697041429385001,0.909753612101797,951
Sao Gabriel Da Palha,1406.8000000000002,0.00010683447903832073,0.9098604465808353,952
Tanabi,1404.3899999999999,0.00010665146006299916,0.9099670980408983,953
Ipaba,1403.5,0.00010658387214265221,0.9100736819130409,954
Faxinal Dos Guedes,1402.74,0.00010652615661516492,0.9101802080696562,955
Arroio Do Meio,1400.22,0.00010633478407665442,0.9102865428537328,956
Bastos,1399.6,0.00010628770035686215,0.9103928305540896,957
Baixo Guandu,1399.1,0.00010624972961509419,0.9104990802837047,958
Campinas Do Sul,1398.8899999999999,0.00010623378190355165,0.9106053140656083,959
Formosa Do Rio Preto,1398.13,0.00010617606637606438,0.9107114901319844,960
Mutum,1397.94,0.00010616163749419254,0.9108176517694786,961
Paranaiba,1396.24,0.0001060325369721815,0.9109236843064508,962
Tapejara,1392.13,0.0001057204174748489,0.9110294047239256,963
Bonfinopolis De Minas,1387.2,0.00010534602596101686,0.9111347507498866,964
Sao Felix Do Xingu,1382.7,0.00010500428928510526,0.9112397550391717,965
Biritiba-Mirim,1381.72,0.00010492986663124005,0.9113446849058029,966
Joao Camara,1379.8000000000002,0.00010478405898285112,0.9114494689647857,967
Bom Retiro Do Sul,1379.0,0.00010472330579602237,0.9115541922705818,968
Guaramirim,1377.08,0.00010457749814763341,0.9116587697687294,969
Santana Do Acarau,1376.8899999999999,0.00010456306926576159,0.9117633328379952,970
Jequitinhonha,1372.37,0.00010421981376017926,0.9118675526517553,971
Divinolandia,1370.68,0.00010409147265300359,0.9119716441244083,972
Vila Valerio,1369.4,0.00010399426755407763,0.9120756383919624,973
Alto Paraiso De Goias,1367.34,0.00010383782809799364,0.9121794762200603,974
Ibia,1367.29,0.00010383403102381684,0.9122833102510841,975
Itabera,1366.1399999999999,0.00010374669831775054,0.9123870569494018,976
Acarau,1364.96,0.00010365708736717818,0.912490714036769,977
Itapecerica,1363.28,0.00010352950567483784,0.9125942435424438,978
Aracuai,1362.98,0.00010350672322977707,0.9126977502656736,979
Corinto,1362.8600000000001,0.00010349761025175276,0.9128012478759253,980
Pitangueiras,1362.6200000000001,0.00010347938429570415,0.912904727260221,981
Iguape,1359.5700000000002,0.00010324776277091962,0.9130079750229919,982
Malacacheta,1355.65,0.00010295007215545884,0.9131109250951474,983
Morada Nova,1355.27,0.00010292121439171518,0.9132138463095391,984
Campestre Da Serra,1348.99,0.00010244430187510966,0.9133162906114142,985
Afogados Da Ingazeira,1345.98,0.00010221571800966657,0.9134185063294238,986
Altos,1345.3899999999999,0.00010217091253438037,0.9135206772419582,987
Upanema,1343.6,0.00010203497727885108,0.9136227122192371,988
Aguas Formosas,1341.7,0.00010189068846013287,0.9137246029076972,989
Pinhao,1340.28,0.00010178285155351186,0.9138263857592507,990
Pirpirituba,1340.0,0.00010176158793812182,0.9139281473471889,991
